 GeoStep   ADMPstep   Time, fs    SCF Energy, au   E-Ebeg,kcal/mol  E-E1,kcal/mol  EkinC(~T)     EkinP(A+B)    Ekin        Epot=Escf   Etot=Ekin+Epot  Etot-EkinP=EkinC+Epot  T,K    Connectivity, Rmax=  3.50
      37     360       72.00      -1800.76647101       11.17       11.17           0.014385      0.000094      0.014478  -1800.766471  -1800.751993  -1800.752086            378.81       1     0.07200
      38     370       74.00      -1800.76672388       11.01       11.01           0.014630      0.000100      0.014731  -1800.766724  -1800.751993  -1800.752093            385.28       1     0.07400
      39     380       76.00      -1800.76688527       10.91       10.91           0.014796      0.000096      0.014892  -1800.766885  -1800.751993  -1800.752089            389.64       1     0.07600
      40     390       78.00      -1800.76695734       10.87       10.87           0.014864      0.000100      0.014965  -1800.766957  -1800.751993  -1800.752093            391.44       1     0.07800
      41     400       80.00      -1800.76693786       10.88       10.88           0.014851      0.000095      0.014945  -1800.766938  -1800.751993  -1800.752087            391.08       1     0.08000
      42     410       82.00      -1800.76684765       10.94       10.94           0.014762      0.000093      0.014855  -1800.766848  -1800.751993  -1800.752086            388.75       1     0.08200
      43     420       84.00      -1800.76667539       11.04       11.04           0.014589      0.000094      0.014683  -1800.766675  -1800.751993  -1800.752087            384.18       1     0.08400
      44     430       86.00      -1800.76644699       11.19       11.19           0.014354      0.000100      0.014454  -1800.766447  -1800.751993  -1800.752092            378.02       1     0.08600
      45     440       88.00      -1800.76615792       11.37       11.37           0.014080      0.000086      0.014165  -1800.766158  -1800.751993  -1800.752078            370.78       1     0.08800
      46     450       90.00      -1800.76582948       11.57       11.57           0.013741      0.000096      0.013837  -1800.765830  -1800.751993  -1800.752089            361.85       1     0.09000
      47     460       92.00      -1800.76546550       11.80       11.80           0.013384      0.000088      0.013473  -1800.765465  -1800.751993  -1800.752081            352.46       1     0.09200
      48     470       94.00      -1800.76506979       12.05       12.05           0.012989      0.000088      0.013077  -1800.765070  -1800.751992  -1800.752081            342.06       1     0.09400
      49     480       96.00      -1800.76466588       12.30       12.30           0.012580      0.000093      0.012673  -1800.764666  -1800.751993  -1800.752085            331.30       1     0.09600
      50     490       98.00      -1800.76425039       12.56       12.56           0.012177      0.000081      0.012258  -1800.764250  -1800.751993  -1800.752073            320.68       1     0.09800
      51     500      100.00      -1800.76384097       12.82       12.82           0.011772      0.000076      0.011848  -1800.763841  -1800.751993  -1800.752069            310.01       1     0.10000
      52     510      102.00      -1800.76344697       13.07       13.07           0.011367      0.000087      0.011454  -1800.763447  -1800.751993  -1800.752080            299.36       1     0.10200
      53     520      104.00      -1800.76306688       13.31       13.31           0.010999      0.000076      0.011074  -1800.763067  -1800.751993  -1800.752068            289.64       1     0.10400
      54     530      106.00      -1800.76271941       13.53       13.53           0.010650      0.000077      0.010727  -1800.762719  -1800.751992  -1800.752070            280.46       1     0.10600
      55     540      108.00      -1800.76240644       13.72       13.72           0.010338      0.000076      0.010414  -1800.762406  -1800.751993  -1800.752069            272.24       1     0.10800
      56     550      110.00      -1800.76212923       13.90       13.90           0.010067      0.000070      0.010136  -1800.762129  -1800.751993  -1800.752063            265.09       1     0.11000
      57     560      112.00      -1800.76189937       14.04       14.04           0.009833      0.000073      0.009907  -1800.761899  -1800.751993  -1800.752066            258.96       1     0.11200
      58     570      114.00      -1800.76171804       14.15       14.15           0.009649      0.000076      0.009725  -1800.761718  -1800.751993  -1800.752069            254.11       1     0.11400
      59     580      116.00      -1800.76158603       14.24       14.24           0.009523      0.000070      0.009593  -1800.761586  -1800.751992  -1800.752063            250.78       1     0.11600
      60     590      118.00      -1800.76150427       14.29       14.29           0.009441      0.000071      0.009512  -1800.761504  -1800.751992  -1800.752064            248.62       1     0.11800
      61     600      120.00      -1800.76148195       14.30       14.30           0.009418      0.000071      0.009489  -1800.761482  -1800.751993  -1800.752064            248.02       1     0.12000
      62     610      122.00      -1800.76150268       14.29       14.29           0.009447      0.000063      0.009510  -1800.761503  -1800.751993  -1800.752056            248.78       1     0.12200
      63     620      124.00      -1800.76158456       14.24       14.24           0.009522      0.000070      0.009592  -1800.761585  -1800.751993  -1800.752063            250.75       1     0.12400
      64     630      126.00      -1800.76171048       14.16       14.16           0.009645      0.000073      0.009718  -1800.761710  -1800.751993  -1800.752066            253.98       1     0.12600
      65     640      128.00      -1800.76187889       14.05       14.05           0.009818      0.000069      0.009886  -1800.761879  -1800.751992  -1800.752061            258.54       1     0.12800
      66     650      130.00      -1800.76209964       13.91       13.91           0.010038      0.000069      0.010107  -1800.762100  -1800.751993  -1800.752061            264.35       1     0.13000
      67     660      132.00      -1800.76235175       13.76       13.76           0.010292      0.000067      0.010359  -1800.762352  -1800.751993  -1800.752060            271.03       1     0.13200
      68     670      134.00      -1800.76264502       13.57       13.57           0.010581      0.000071      0.010652  -1800.762645  -1800.751993  -1800.752064            278.64       1     0.13400
      69     680      136.00      -1800.76296311       13.37       13.37           0.010901      0.000070      0.010971  -1800.762963  -1800.751992  -1800.752063            287.06       1     0.13600
      70     690      138.00      -1800.76331419       13.15       13.15           0.011246      0.000075      0.011322  -1800.763314  -1800.751992  -1800.752068            296.17       1     0.13800
      71     700      140.00      -1800.76368484       12.92       12.92           0.011623      0.000069      0.011692  -1800.763685  -1800.751993  -1800.752062            306.09       1     0.14000
      72     710      142.00      -1800.76407632       12.67       12.67           0.012011      0.000072      0.012084  -1800.764076  -1800.751993  -1800.752065            316.32       1     0.14200
      73     720      144.00      -1800.76448501       12.42       12.42           0.012419      0.000073      0.012492  -1800.764485  -1800.751993  -1800.752066            327.05       1     0.14400
      74     730      146.00      -1800.76490726       12.15       12.15           0.012841      0.000074      0.012915  -1800.764907  -1800.751993  -1800.752066            338.15       1     0.14600
      75     740      148.00      -1800.76533748       11.88       11.88           0.013272      0.000072      0.013345  -1800.765337  -1800.751993  -1800.752065            349.52       1     0.14800
      76     750      150.00      -1800.76578593       11.60       11.60           0.013713      0.000080      0.013793  -1800.765786  -1800.751993  -1800.752072            361.13       1     0.15000
      77     760      152.00      -1800.76623619       11.32       11.32           0.014167      0.000077      0.014244  -1800.766236  -1800.751993  -1800.752069            373.07       1     0.15200
      78     770      154.00      -1800.76669322       11.03       11.03           0.014625      0.000075      0.014701  -1800.766693  -1800.751993  -1800.752068            385.15       1     0.15400
      79     780      156.00      -1800.76716083       10.74       10.74           0.015088      0.000080      0.015168  -1800.767161  -1800.751993  -1800.752073            397.32       1     0.15600
      80     790      158.00      -1800.76763256       10.44       10.44           0.015556      0.000084      0.015640  -1800.767633  -1800.751993  -1800.752077            409.65       1     0.15800
      81     800      160.00      -1800.76810326       10.15       10.15           0.016036      0.000075      0.016111  -1800.768103  -1800.751992  -1800.752067            422.30       1     0.16000
      82     810      162.00      -1800.76858126        9.85        9.85           0.016502      0.000087      0.016589  -1800.768581  -1800.751993  -1800.752079            434.57       1     0.16200
      83     820      164.00      -1800.76904954        9.55        9.55           0.016981      0.000077      0.017057  -1800.769049  -1800.751992  -1800.752069            447.17       1     0.16400
      84     830      166.00      -1800.76952017        9.26        9.26           0.017448      0.000079      0.017528  -1800.769520  -1800.751993  -1800.752072            459.49       1     0.16600
      85     840      168.00      -1800.76997990        8.97        8.97           0.017905      0.000082      0.017987  -1800.769980  -1800.751993  -1800.752075            471.50       1     0.16800
      86     850      170.00      -1800.77042194        8.69        8.69           0.018341      0.000089      0.018429  -1800.770422  -1800.751993  -1800.752081            482.99       1     0.17000
      87     860      172.00      -1800.77084128        8.43        8.43           0.018763      0.000086      0.018849  -1800.770841  -1800.751993  -1800.752078            494.11       1     0.17200
      88     870      174.00      -1800.77123381        8.18        8.18           0.019158      0.000083      0.019241  -1800.771234  -1800.751993  -1800.752075            504.52       1     0.17400
      89     880      176.00      -1800.77159655        7.96        7.96           0.019519      0.000085      0.019604  -1800.771596  -1800.751993  -1800.752078            514.02       1     0.17600
      90     890      178.00      -1800.77190877        7.76        7.76           0.019835      0.000081      0.019916  -1800.771909  -1800.751993  -1800.752074            522.34       1     0.17800
      91     900      180.00      -1800.77217331        7.59        7.59           0.020088      0.000093      0.020181  -1800.772173  -1800.751993  -1800.752085            529.00       1     0.18000
      92     910      182.00      -1800.77238082        7.46        7.46           0.020295      0.000093      0.020388  -1800.772381  -1800.751993  -1800.752086            534.45       1     0.18200
      93     920      184.00      -1800.77252261        7.37        7.37           0.020444      0.000086      0.020530  -1800.772523  -1800.751992  -1800.752078            538.38       1     0.18400
      94     930      186.00      -1800.77259674        7.33        7.33           0.020519      0.000085      0.020604  -1800.772597  -1800.751993  -1800.752078            540.36       1     0.18600
      95     940      188.00      -1800.77260242        7.32        7.32           0.020522      0.000087      0.020610  -1800.772602  -1800.751993  -1800.752080            540.44       1     0.18800
