 GeoStep   ADMPstep   Time, fs    SCF Energy, au   E-Ebeg,kcal/mol  E-E1,kcal/mol  EkinC(~T)     EkinP(A+B)    Ekin        Epot=Escf   Etot=Ekin+Epot  Etot-EkinP=EkinC+Epot  T,K    Connectivity, Rmax=  3.50
    1397   13960     2792.00      -1800.76759944       10.46       10.46           0.015511      0.000096      0.015607  -1800.767599  -1800.751993  -1800.752088            408.48       1     2.79200
    1398   13970     2794.00      -1800.76805247       10.18       10.18           0.015964      0.000096      0.016060  -1800.768053  -1800.751993  -1800.752089            420.39       1     2.79400
    1399   13980     2796.00      -1800.76848877        9.91        9.91           0.016396      0.000101      0.016496  -1800.768489  -1800.751993  -1800.752093            431.77       1     2.79600
    1400   13990     2798.00      -1800.76891002        9.64        9.64           0.016811      0.000106      0.016917  -1800.768910  -1800.751993  -1800.752099            442.71       1     2.79800
    1401   14000     2800.00      -1800.76930693        9.39        9.39           0.017213      0.000101      0.017314  -1800.769307  -1800.751993  -1800.752094            453.29       1     2.80000
    1402   14010     2802.00      -1800.76966059        9.17        9.17           0.017569      0.000098      0.017668  -1800.769661  -1800.751993  -1800.752091            462.68       1     2.80200
    1403   14020     2804.00      -1800.76997777        8.97        8.97           0.017880      0.000105      0.017985  -1800.769978  -1800.751993  -1800.752098            470.85       1     2.80400
    1404   14030     2806.00      -1800.77025923        8.79        8.79           0.018172      0.000095      0.018267  -1800.770259  -1800.751993  -1800.752088            478.54       1     2.80600
    1405   14040     2808.00      -1800.77049975        8.64        8.64           0.018407      0.000100      0.018507  -1800.770500  -1800.751993  -1800.752092            484.74       1     2.80800
    1406   14050     2810.00      -1800.77070178        8.52        8.52           0.018604      0.000105      0.018709  -1800.770702  -1800.751993  -1800.752097            489.94       1     2.81000
    1407   14060     2812.00      -1800.77087301        8.41        8.41           0.018782      0.000098      0.018880  -1800.770873  -1800.751993  -1800.752091            494.62       1     2.81200
    1408   14070     2814.00      -1800.77100665        8.33        8.33           0.018918      0.000096      0.019014  -1800.771007  -1800.751993  -1800.752088            498.20       1     2.81400
    1409   14080     2816.00      -1800.77111147        8.26        8.26           0.019021      0.000098      0.019119  -1800.771111  -1800.751993  -1800.752091            500.90       1     2.81600
    1410   14090     2818.00      -1800.77118558        8.21        8.21           0.019097      0.000096      0.019193  -1800.771186  -1800.751993  -1800.752088            502.92       1     2.81800
    1411   14100     2820.00      -1800.77123521        8.18        8.18           0.019151      0.000091      0.019242  -1800.771235  -1800.751993  -1800.752084            504.33       1     2.82000
    1412   14110     2822.00      -1800.77125025        8.17        8.17           0.019165      0.000092      0.019258  -1800.771250  -1800.751993  -1800.752085            504.70       1     2.82200
    1413   14120     2824.00      -1800.77124074        8.18        8.18           0.019150      0.000098      0.019248  -1800.771241  -1800.751993  -1800.752091            504.30       1     2.82400
    1414   14130     2826.00      -1800.77119823        8.21        8.21           0.019120      0.000086      0.019206  -1800.771198  -1800.751993  -1800.752079            503.50       1     2.82600
    1415   14140     2828.00      -1800.77112261        8.25        8.25           0.019042      0.000088      0.019130  -1800.771123  -1800.751993  -1800.752081            501.45       1     2.82800
    1416   14150     2830.00      -1800.77102081        8.32        8.32           0.018936      0.000092      0.019028  -1800.771021  -1800.751993  -1800.752085            498.67       1     2.83000
    1417   14160     2832.00      -1800.77087893        8.41        8.41           0.018802      0.000084      0.018886  -1800.770879  -1800.751993  -1800.752076            495.15       1     2.83200
    1418   14170     2834.00      -1800.77070420        8.52        8.52           0.018623      0.000088      0.018711  -1800.770704  -1800.751993  -1800.752081            490.43       1     2.83400
    1419   14180     2836.00      -1800.77049545        8.65        8.65           0.018417      0.000086      0.018503  -1800.770495  -1800.751993  -1800.752079            484.99       1     2.83600
    1420   14190     2838.00      -1800.77025016        8.80        8.80           0.018176      0.000082      0.018257  -1800.770250  -1800.751993  -1800.752074            478.65       1     2.83800
    1421   14200     2840.00      -1800.76997564        8.97        8.97           0.017901      0.000082      0.017983  -1800.769976  -1800.751993  -1800.752075            471.40       1     2.84000
    1422   14210     2842.00      -1800.76967045        9.16        9.16           0.017594      0.000084      0.017678  -1800.769671  -1800.751993  -1800.752077            463.32       1     2.84200
    1423   14220     2844.00      -1800.76933538        9.37        9.37           0.017262      0.000081      0.017343  -1800.769335  -1800.751993  -1800.752074            454.58       1     2.84400
    1424   14230     2846.00      -1800.76897631        9.60        9.60           0.016899      0.000085      0.016984  -1800.768976  -1800.751993  -1800.752077            445.02       1     2.84600
    1425   14240     2848.00      -1800.76859863        9.84        9.84           0.016525      0.000081      0.016606  -1800.768599  -1800.751993  -1800.752074            435.18       1     2.84800
    1426   14250     2850.00      -1800.76820312       10.08       10.08           0.016135      0.000076      0.016210  -1800.768203  -1800.751993  -1800.752068            424.90       1     2.85000
    1427   14260     2852.00      -1800.76780179       10.34       10.34           0.015730      0.000079      0.015809  -1800.767802  -1800.751993  -1800.752072            414.24       1     2.85200
    1428   14270     2854.00      -1800.76739449       10.59       10.59           0.015325      0.000077      0.015402  -1800.767394  -1800.751993  -1800.752070            403.57       1     2.85400
    1429   14280     2856.00      -1800.76699428       10.84       10.84           0.014921      0.000080      0.015001  -1800.766994  -1800.751993  -1800.752073            392.94       1     2.85600
    1430   14290     2858.00      -1800.76659378       11.09       11.09           0.014524      0.000077      0.014601  -1800.766594  -1800.751993  -1800.752070            382.48       1     2.85800
    1431   14300     2860.00      -1800.76621034       11.34       11.34           0.014143      0.000075      0.014218  -1800.766210  -1800.751993  -1800.752067            372.45       1     2.86000
    1432   14310     2862.00      -1800.76584497       11.56       11.56           0.013780      0.000072      0.013852  -1800.765845  -1800.751993  -1800.752065            362.88       1     2.86200
    1433   14320     2864.00      -1800.76549866       11.78       11.78           0.013429      0.000077      0.013506  -1800.765499  -1800.751993  -1800.752069            353.65       1     2.86400
    1434   14330     2866.00      -1800.76518255       11.98       11.98           0.013111      0.000079      0.013190  -1800.765183  -1800.751993  -1800.752072            345.27       1     2.86600
    1435   14340     2868.00      -1800.76488555       12.17       12.17           0.012822      0.000071      0.012893  -1800.764886  -1800.751992  -1800.752063            337.67       1     2.86800
    1436   14350     2870.00      -1800.76462974       12.33       12.33           0.012564      0.000073      0.012637  -1800.764630  -1800.751993  -1800.752066            330.87       1     2.87000
    1437   14360     2872.00      -1800.76439846       12.47       12.47           0.012328      0.000077      0.012406  -1800.764398  -1800.751993  -1800.752070            324.66       1     2.87200
    1438   14370     2874.00      -1800.76419710       12.60       12.60           0.012133      0.000071      0.012204  -1800.764197  -1800.751993  -1800.752064            319.52       1     2.87400
    1439   14380     2876.00      -1800.76402953       12.70       12.70           0.011966      0.000071      0.012037  -1800.764030  -1800.751993  -1800.752063            315.13       1     2.87600
    1440   14390     2878.00      -1800.76388728       12.79       12.79           0.011822      0.000072      0.011895  -1800.763887  -1800.751992  -1800.752065            311.34       1     2.87800
    1441   14400     2880.00      -1800.76377644       12.86       12.86           0.011711      0.000073      0.011784  -1800.763776  -1800.751993  -1800.752066            308.39       1     2.88000
    1442   14410     2882.00      -1800.76368768       12.92       12.92           0.011619      0.000076      0.011695  -1800.763688  -1800.751993  -1800.752069            305.98       1     2.88200
    1443   14420     2884.00      -1800.76361693       12.96       12.96           0.011552      0.000072      0.011624  -1800.763617  -1800.751993  -1800.752065            304.21       1     2.88400
    1444   14430     2886.00      -1800.76356884       12.99       12.99           0.011503      0.000074      0.011576  -1800.763569  -1800.751993  -1800.752066            302.91       1     2.88600
    1445   14440     2888.00      -1800.76353105       13.02       13.02           0.011463      0.000076      0.011538  -1800.763531  -1800.751993  -1800.752068            301.86       1     2.88800
    1446   14450     2890.00      -1800.76350185       13.03       13.03           0.011438      0.000071      0.011509  -1800.763502  -1800.751993  -1800.752064            301.21       1     2.89000
    1447   14460     2892.00      -1800.76348795       13.04       13.04           0.011420      0.000075      0.011495  -1800.763488  -1800.751993  -1800.752068            300.74       1     2.89200
    1448   14470     2894.00      -1800.76347369       13.05       13.05           0.011409      0.000071      0.011481  -1800.763474  -1800.751993  -1800.752064            300.46       1     2.89400
    1449   14480     2896.00      -1800.76346548       13.06       13.06           0.011395      0.000078      0.011473  -1800.763465  -1800.751993  -1800.752071            300.07       1     2.89600
    1450   14490     2898.00      -1800.76345289       13.07       13.07           0.011389      0.000071      0.011460  -1800.763453  -1800.751993  -1800.752064            299.92       1     2.89800
    1451   14500     2900.00      -1800.76344321       13.07       13.07           0.011378      0.000072      0.011451  -1800.763443  -1800.751992  -1800.752065            299.64       1     2.90000
    1452   14510     2902.00      -1800.76343275       13.08       13.08           0.011362      0.000078      0.011440  -1800.763433  -1800.751993  -1800.752071            299.21       1     2.90200
    1453   14520     2904.00      -1800.76341510       13.09       13.09           0.011349      0.000073      0.011422  -1800.763415  -1800.751993  -1800.752066            298.87       1     2.90400
    1454   14530     2906.00      -1800.76339510       13.10       13.10           0.011327      0.000075      0.011402  -1800.763395  -1800.751993  -1800.752068            298.29       1     2.90600
    1455   14540     2908.00      -1800.76337015       13.12       13.12           0.011306      0.000072      0.011377  -1800.763370  -1800.751993  -1800.752064            297.73       1     2.90800
    1456   14550     2910.00      -1800.76334634       13.13       13.13           0.011280      0.000074      0.011354  -1800.763346  -1800.751993  -1800.752066            297.05       1     2.91000
    1457   14560     2912.00      -1800.76331269       13.15       13.15           0.011247      0.000073      0.011320  -1800.763313  -1800.751993  -1800.752066            296.19       1     2.91200
    1458   14570     2914.00      -1800.76328127       13.17       13.17           0.011213      0.000076      0.011288  -1800.763281  -1800.751993  -1800.752069            295.28       1     2.91400
    1459   14580     2916.00      -1800.76324240       13.20       13.20           0.011177      0.000072      0.011250  -1800.763242  -1800.751993  -1800.752065            294.35       1     2.91600
    1460   14590     2918.00      -1800.76320499       13.22       13.22           0.011138      0.000074      0.011212  -1800.763205  -1800.751993  -1800.752067            293.31       1     2.91800
    1461   14600     2920.00      -1800.76316134       13.25       13.25           0.011100      0.000068      0.011169  -1800.763161  -1800.751993  -1800.752061            292.32       1     2.92000
    1462   14610     2922.00      -1800.76312079       13.27       13.27           0.011059      0.000070      0.011128  -1800.763121  -1800.751993  -1800.752062            291.22       1     2.92200
    1463   14620     2924.00      -1800.76308381       13.30       13.30           0.011019      0.000072      0.011091  -1800.763084  -1800.751993  -1800.752065            290.18       1     2.92400
    1464   14630     2926.00      -1800.76304307       13.32       13.32           0.010978      0.000072      0.011050  -1800.763043  -1800.751993  -1800.752065            289.10       1     2.92600
    1465   14640     2928.00      -1800.76300844       13.34       13.34           0.010942      0.000074      0.011016  -1800.763008  -1800.751993  -1800.752067            288.14       1     2.92800
    1466   14650     2930.00      -1800.76297268       13.37       13.37           0.010912      0.000068      0.010980  -1800.762973  -1800.751993  -1800.752061            287.36       1     2.93000
    1467   14660     2932.00      -1800.76294645       13.38       13.38           0.010882      0.000072      0.010954  -1800.762946  -1800.751993  -1800.752064            286.57       1     2.93200
    1468   14670     2934.00      -1800.76292517       13.40       13.40           0.010859      0.000074      0.010932  -1800.762925  -1800.751993  -1800.752067            285.95       1     2.93400
    1469   14680     2936.00      -1800.76291327       13.40       13.40           0.010853      0.000068      0.010921  -1800.762913  -1800.751993  -1800.752061            285.80       1     2.93600
    1470   14690     2938.00      -1800.76291110       13.41       13.41           0.010849      0.000069      0.010918  -1800.762911  -1800.751993  -1800.752062            285.71       1     2.93800
    1471   14700     2940.00      -1800.76292498       13.40       13.40           0.010857      0.000075      0.010932  -1800.762925  -1800.751993  -1800.752068            285.91       1     2.94000
    1472   14710     2942.00      -1800.76294776       13.38       13.38           0.010885      0.000070      0.010955  -1800.762948  -1800.751993  -1800.752063            286.64       1     2.94200
    1473   14720     2944.00      -1800.76299716       13.35       13.35           0.010938      0.000067      0.011004  -1800.762997  -1800.751993  -1800.752059            288.04       1     2.94400
    1474   14730     2946.00      -1800.76305823       13.31       13.31           0.010993      0.000072      0.011066  -1800.763058  -1800.751993  -1800.752065            289.51       1     2.94600
    1475   14740     2948.00      -1800.76314453       13.26       13.26           0.011081      0.000071      0.011152  -1800.763144  -1800.751993  -1800.752064            291.80       1     2.94800
    1476   14750     2950.00      -1800.76325302       13.19       13.19           0.011189      0.000071      0.011260  -1800.763253  -1800.751993  -1800.752064            294.67       1     2.95000
    1477   14760     2952.00      -1800.76337891       13.11       13.11           0.011319      0.000067      0.011386  -1800.763379  -1800.751993  -1800.752060            298.08       1     2.95200
    1478   14770     2954.00      -1800.76353239       13.02       13.02           0.011471      0.000068      0.011540  -1800.763532  -1800.751993  -1800.752061            302.09       1     2.95400
    1479   14780     2956.00      -1800.76370780       12.91       12.91           0.011643      0.000072      0.011715  -1800.763708  -1800.751993  -1800.752065            306.60       1     2.95600
    1480   14790     2958.00      -1800.76389771       12.79       12.79           0.011835      0.000070      0.011905  -1800.763898  -1800.751993  -1800.752062            311.67       1     2.95800
    1481   14800     2960.00      -1800.76410948       12.65       12.65           0.012047      0.000070      0.012117  -1800.764109  -1800.751993  -1800.752063            317.24       1     2.96000
    1482   14810     2962.00      -1800.76432982       12.52       12.52           0.012269      0.000068      0.012337  -1800.764330  -1800.751993  -1800.752061            323.09       1     2.96200
    1483   14820     2964.00      -1800.76456488       12.37       12.37           0.012496      0.000076      0.012572  -1800.764565  -1800.751993  -1800.752069            329.08       1     2.96400
    1484   14830     2966.00      -1800.76479960       12.22       12.22           0.012730      0.000077      0.012807  -1800.764800  -1800.751993  -1800.752070            335.23       1     2.96600
    1485   14840     2968.00      -1800.76503656       12.07       12.07           0.012973      0.000071      0.013044  -1800.765037  -1800.751993  -1800.752064            341.63       1     2.96800
    1486   14850     2970.00      -1800.76527094       11.92       11.92           0.013209      0.000070      0.013278  -1800.765271  -1800.751993  -1800.752062            347.84       1     2.97000
    1487   14860     2972.00      -1800.76549967       11.78       11.78           0.013437      0.000070      0.013507  -1800.765500  -1800.751992  -1800.752062            353.86       1     2.97200
    1488   14870     2974.00      -1800.76572513       11.64       11.64           0.013653      0.000079      0.013732  -1800.765725  -1800.751993  -1800.752072            359.55       1     2.97400
    1489   14880     2976.00      -1800.76593728       11.51       11.51           0.013869      0.000076      0.013945  -1800.765937  -1800.751993  -1800.752068            365.23       1     2.97600
    1490   14890     2978.00      -1800.76614635       11.38       11.38           0.014079      0.000075      0.014154  -1800.766146  -1800.751993  -1800.752067            370.76       1     2.97800
    1491   14900     2980.00      -1800.76634989       11.25       11.25           0.014285      0.000073      0.014357  -1800.766350  -1800.751993  -1800.752065            376.17       1     2.98000
    1492   14910     2982.00      -1800.76655671       11.12       11.12           0.014490      0.000075      0.014564  -1800.766557  -1800.751993  -1800.752067            381.57       1     2.98200
    1493   14920     2984.00      -1800.76676817       10.99       10.99           0.014697      0.000079      0.014776  -1800.766768  -1800.751993  -1800.752072            387.03       1     2.98400
    1494   14930     2986.00      -1800.76699668       10.84       10.84           0.014927      0.000076      0.015004  -1800.766997  -1800.751993  -1800.752069            393.11       1     2.98600
    1495   14940     2988.00      -1800.76724985       10.68       10.68           0.015179      0.000078      0.015257  -1800.767250  -1800.751993  -1800.752071            399.73       1     2.98800
    1496   14950     2990.00      -1800.76752869       10.51       10.51           0.015460      0.000076      0.015536  -1800.767529  -1800.751993  -1800.752069            407.13       1     2.99000
    1497   14960     2992.00      -1800.76784135       10.31       10.31           0.015776      0.000073      0.015849  -1800.767841  -1800.751993  -1800.752065            415.45       1     2.99200
    1498   14970     2994.00      -1800.76820221       10.09       10.09           0.016126      0.000084      0.016209  -1800.768202  -1800.751993  -1800.752076            424.66       1     2.99400
    1499   14980     2996.00      -1800.76859670        9.84        9.84           0.016522      0.000082      0.016604  -1800.768597  -1800.751993  -1800.752075            435.09       1     2.99600
    1500   14990     2998.00      -1800.76903981        9.56        9.56           0.016962      0.000085      0.017047  -1800.769040  -1800.751993  -1800.752078            446.68       1     2.99800
    1501   15000     3000.00      -1800.76950551        9.27        9.27           0.017435      0.000077      0.017513  -1800.769505  -1800.751993  -1800.752070            459.15       1     3.00000
    1502   15010     3002.00      -1800.77000214        8.96        8.96           0.017926      0.000083      0.018009  -1800.770002  -1800.751993  -1800.752076            472.08       1     3.00200
    1503   15020     3004.00      -1800.77050686        8.64        8.64           0.018428      0.000086      0.018514  -1800.770507  -1800.751993  -1800.752079            485.28       1     3.00400
    1504   15030     3006.00      -1800.77100970        8.32        8.32           0.018926      0.000091      0.019017  -1800.771010  -1800.751993  -1800.752084            498.40       1     3.00600
    1505   15040     3008.00      -1800.77148648        8.02        8.02           0.019400      0.000094      0.019494  -1800.771487  -1800.751993  -1800.752087            510.88       1     3.00800
    1506   15050     3010.00      -1800.77192836        7.75        7.75           0.019845      0.000090      0.019935  -1800.771928  -1800.751993  -1800.752083            522.61       1     3.01000
    1507   15060     3012.00      -1800.77230866        7.51        7.51           0.020227      0.000088      0.020316  -1800.772309  -1800.751993  -1800.752081            532.68       1     3.01200
    1508   15070     3014.00      -1800.77261921        7.31        7.31           0.020526      0.000100      0.020626  -1800.772619  -1800.751993  -1800.752093            540.55       1     3.01400
    1509   15080     3016.00      -1800.77284079        7.17        7.17           0.020750      0.000098      0.020848  -1800.772841  -1800.751993  -1800.752091            546.43       1     3.01600
    1510   15090     3018.00      -1800.77296633        7.10        7.10           0.020879      0.000095      0.020974  -1800.772966  -1800.751993  -1800.752088            549.83       1     3.01800
    1511   15100     3020.00      -1800.77299893        7.08        7.08           0.020903      0.000103      0.021006  -1800.772999  -1800.751993  -1800.752095            550.48       1     3.02000
    1512   15110     3022.00      -1800.77292879        7.12        7.12           0.020838      0.000098      0.020936  -1800.772929  -1800.751993  -1800.752091            548.75       1     3.02200
    1513   15120     3024.00      -1800.77276313        7.22        7.22           0.020679      0.000091      0.020770  -1800.772763  -1800.751993  -1800.752084            544.57       1     3.02400
    1514   15130     3026.00      -1800.77251237        7.38        7.38           0.020426      0.000093      0.020519  -1800.772512  -1800.751993  -1800.752086            537.91       1     3.02600
    1515   15140     3028.00      -1800.77218377        7.59        7.59           0.020091      0.000100      0.020191  -1800.772184  -1800.751993  -1800.752093            529.08       1     3.02800
    1516   15150     3030.00      -1800.77179618        7.83        7.83           0.019705      0.000098      0.019804  -1800.771796  -1800.751993  -1800.752091            518.93       1     3.03000
    1517   15160     3032.00      -1800.77137404        8.10        8.10           0.019284      0.000097      0.019381  -1800.771374  -1800.751993  -1800.752090            507.84       1     3.03200
    1518   15170     3034.00      -1800.77092064        8.38        8.38           0.018834      0.000094      0.018928  -1800.770921  -1800.751993  -1800.752086            495.99       1     3.03400
    1519   15180     3036.00      -1800.77047686        8.66        8.66           0.018387      0.000097      0.018484  -1800.770477  -1800.751993  -1800.752090            484.20       1     3.03600
    1520   15190     3038.00      -1800.77003590        8.93        8.93           0.017954      0.000089      0.018043  -1800.770036  -1800.751993  -1800.752082            472.81       1     3.03800
    1521   15200     3040.00      -1800.76963854        9.18        9.18           0.017555      0.000091      0.017646  -1800.769638  -1800.751993  -1800.752084            462.29       1     3.04000
    1522   15210     3042.00      -1800.76929425        9.40        9.40           0.017200      0.000101      0.017302  -1800.769294  -1800.751993  -1800.752094            452.96       1     3.04200
    1523   15220     3044.00      -1800.76901248        9.58        9.58           0.016928      0.000092      0.017020  -1800.769012  -1800.751993  -1800.752084            445.79       1     3.04400
    1524   15230     3046.00      -1800.76880948        9.70        9.70           0.016727      0.000089      0.016817  -1800.768810  -1800.751993  -1800.752082            440.51       1     3.04600
    1525   15240     3048.00      -1800.76868015        9.79        9.79           0.016598      0.000090      0.016688  -1800.768680  -1800.751993  -1800.752082            437.09       1     3.04800
    1526   15250     3050.00      -1800.76863834        9.81        9.81           0.016546      0.000099      0.016646  -1800.768638  -1800.751993  -1800.752092            435.74       1     3.05000
    1527   15260     3052.00      -1800.76866815        9.79        9.79           0.016580      0.000095      0.016675  -1800.768668  -1800.751993  -1800.752088            436.63       1     3.05200
    1528   15270     3054.00      -1800.76877579        9.73        9.73           0.016687      0.000096      0.016783  -1800.768776  -1800.751993  -1800.752089            439.44       1     3.05400
    1529   15280     3056.00      -1800.76893288        9.63        9.63           0.016844      0.000096      0.016940  -1800.768933  -1800.751993  -1800.752089            443.57       1     3.05600
    1530   15290     3058.00      -1800.76913809        9.50        9.50           0.017045      0.000100      0.017145  -1800.769138  -1800.751993  -1800.752093            448.87       1     3.05800
    1531   15300     3060.00      -1800.76936885        9.35        9.35           0.017279      0.000097      0.017376  -1800.769369  -1800.751993  -1800.752090            455.04       1     3.06000
    1532   15310     3062.00      -1800.76960569        9.20        9.20           0.017514      0.000099      0.017613  -1800.769606  -1800.751992  -1800.752091            461.23       1     3.06200
    1533   15320     3064.00      -1800.76983590        9.06        9.06           0.017740      0.000104      0.017843  -1800.769836  -1800.751992  -1800.752096            467.16       1     3.06400
    1534   15330     3066.00      -1800.77004323        8.93        8.93           0.017950      0.000100      0.018051  -1800.770043  -1800.751993  -1800.752093            472.70       1     3.06600
    1535   15340     3068.00      -1800.77020860        8.83        8.83           0.018118      0.000098      0.018216  -1800.770209  -1800.751993  -1800.752091            477.12       1     3.06800
    1536   15350     3070.00      -1800.77031945        8.76        8.76           0.018229      0.000098      0.018327  -1800.770319  -1800.751993  -1800.752091            480.04       1     3.07000
    1537   15360     3072.00      -1800.77036583        8.73        8.73           0.018260      0.000113      0.018373  -1800.770366  -1800.751993  -1800.752106            480.86       1     3.07200
    1538   15370     3074.00      -1800.77033895        8.74        8.74           0.018249      0.000097      0.018346  -1800.770339  -1800.751993  -1800.752090            480.57       1     3.07400
    1539   15380     3076.00      -1800.77024042        8.81        8.81           0.018151      0.000096      0.018248  -1800.770240  -1800.751993  -1800.752089            478.00       1     3.07600
    1540   15390     3078.00      -1800.77006348        8.92        8.92           0.017973      0.000098      0.018071  -1800.770064  -1800.751993  -1800.752090            473.31       1     3.07800
    1541   15400     3080.00      -1800.76981046        9.08        9.08           0.017713      0.000105      0.017818  -1800.769810  -1800.751993  -1800.752098            466.45       1     3.08000
    1542   15410     3082.00      -1800.76947656        9.29        9.29           0.017391      0.000093      0.017484  -1800.769477  -1800.751993  -1800.752086            457.97       1     3.08200
    1543   15420     3084.00      -1800.76908638        9.53        9.53           0.017000      0.000094      0.017094  -1800.769086  -1800.751993  -1800.752087            447.68       1     3.08400
    1544   15430     3086.00      -1800.76862559        9.82        9.82           0.016546      0.000087      0.016633  -1800.768626  -1800.751993  -1800.752080            435.73       1     3.08600
    1545   15440     3088.00      -1800.76812134       10.14       10.14           0.016035      0.000093      0.016128  -1800.768121  -1800.751993  -1800.752086            422.27       1     3.08800
    1546   15450     3090.00      -1800.76756745       10.48       10.48           0.015484      0.000091      0.015575  -1800.767567  -1800.751993  -1800.752084            407.76       1     3.09000
    1547   15460     3092.00      -1800.76698022       10.85       10.85           0.014905      0.000083      0.014988  -1800.766980  -1800.751993  -1800.752076            392.50       1     3.09200
    1548   15470     3094.00      -1800.76637556       11.23       11.23           0.014296      0.000087      0.014383  -1800.766376  -1800.751993  -1800.752080            376.47       1     3.09400
    1549   15480     3096.00      -1800.76575610       11.62       11.62           0.013682      0.000081      0.013763  -1800.765756  -1800.751993  -1800.752074            360.31       1     3.09600
    1550   15490     3098.00      -1800.76514225       12.01       12.01           0.013074      0.000075      0.013149  -1800.765142  -1800.751993  -1800.752068            344.30       1     3.09800
    1551   15500     3100.00      -1800.76453184       12.39       12.39           0.012467      0.000072      0.012539  -1800.764532  -1800.751993  -1800.752065            328.32       1     3.10000
    1552   15510     3102.00      -1800.76394817       12.75       12.75           0.011874      0.000081      0.011956  -1800.763948  -1800.751993  -1800.752074            312.70       1     3.10200
    1553   15520     3104.00      -1800.76339135       13.10       13.10           0.011322      0.000077      0.011399  -1800.763391  -1800.751992  -1800.752069            298.16       1     3.10400
    1554   15530     3106.00      -1800.76287479       13.43       13.43           0.010815      0.000067      0.010882  -1800.762875  -1800.751993  -1800.752060            284.81       1     3.10600
    1555   15540     3108.00      -1800.76240362       13.72       13.72           0.010344      0.000067      0.010411  -1800.762404  -1800.751993  -1800.752059            272.41       1     3.10800
    1556   15550     3110.00      -1800.76198313       13.99       13.99           0.009920      0.000071      0.009990  -1800.761983  -1800.751993  -1800.752063            261.23       1     3.11000
    1557   15560     3112.00      -1800.76161935       14.22       14.22           0.009552      0.000075      0.009627  -1800.761619  -1800.751993  -1800.752068            251.54       1     3.11200
    1558   15570     3114.00      -1800.76131232       14.41       14.41           0.009252      0.000068      0.009320  -1800.761312  -1800.751992  -1800.752060            243.65       1     3.11400
    1559   15580     3116.00      -1800.76107206       14.56       14.56           0.009013      0.000067      0.009079  -1800.761072  -1800.751993  -1800.752059            237.34       1     3.11600
    1560   15590     3118.00      -1800.76088438       14.68       14.68           0.008824      0.000068      0.008892  -1800.760884  -1800.751992  -1800.752060            232.38       1     3.11800
    1561   15600     3120.00      -1800.76076651       14.75       14.75           0.008709      0.000065      0.008774  -1800.760767  -1800.751993  -1800.752058            229.34       1     3.12000
    1562   15610     3122.00      -1800.76070396       14.79       14.79           0.008644      0.000067      0.008711  -1800.760704  -1800.751993  -1800.752060            227.64       1     3.12200
    1563   15620     3124.00      -1800.76070216       14.79       14.79           0.008644      0.000065      0.008710  -1800.760702  -1800.751993  -1800.752058            227.63       1     3.12400
    1564   15630     3126.00      -1800.76075532       14.76       14.76           0.008694      0.000069      0.008763  -1800.760755  -1800.751993  -1800.752061            228.95       1     3.12600
    1565   15640     3128.00      -1800.76086460       14.69       14.69           0.008799      0.000073      0.008872  -1800.760865  -1800.751993  -1800.752066            231.71       1     3.12800
    1566   15650     3130.00      -1800.76101509       14.59       14.59           0.008960      0.000063      0.009022  -1800.761015  -1800.751993  -1800.752055            235.95       1     3.13000
    1567   15660     3132.00      -1800.76121691       14.47       14.47           0.009158      0.000067      0.009224  -1800.761217  -1800.751993  -1800.752060            241.16       1     3.13200
    1568   15670     3134.00      -1800.76146347       14.31       14.31           0.009397      0.000074      0.009471  -1800.761463  -1800.751993  -1800.752066            247.46       1     3.13400
    1569   15680     3136.00      -1800.76174389       14.14       14.14           0.009683      0.000069      0.009751  -1800.761744  -1800.751993  -1800.752061            254.98       1     3.13600
    1570   15690     3138.00      -1800.76206482       13.94       13.94           0.009998      0.000074      0.010072  -1800.762065  -1800.751993  -1800.752067            263.30       1     3.13800
    1571   15700     3140.00      -1800.76241713       13.72       13.72           0.010352      0.000072      0.010424  -1800.762417  -1800.751993  -1800.752065            272.62       1     3.14000
    1572   15710     3142.00      -1800.76279959       13.48       13.48           0.010738      0.000069      0.010807  -1800.762800  -1800.751993  -1800.752062            282.77       1     3.14200
    1573   15720     3144.00      -1800.76321168       13.22       13.22           0.011146      0.000073      0.011219  -1800.763212  -1800.751993  -1800.752066            293.52       1     3.14400
    1574   15730     3146.00      -1800.76365080       12.94       12.94           0.011582      0.000076      0.011658  -1800.763651  -1800.751993  -1800.752068            305.02       1     3.14600
    1575   15740     3148.00      -1800.76411149       12.65       12.65           0.012039      0.000079      0.012119  -1800.764111  -1800.751993  -1800.752072            317.05       1     3.14800
    1576   15750     3150.00      -1800.76459580       12.35       12.35           0.012528      0.000075      0.012603  -1800.764596  -1800.751993  -1800.752067            329.93       1     3.15000
    1577   15760     3152.00      -1800.76509165       12.04       12.04           0.013027      0.000072      0.013099  -1800.765092  -1800.751992  -1800.752064            343.07       1     3.15200
    1578   15770     3154.00      -1800.76561796       11.71       11.71           0.013541      0.000084      0.013625  -1800.765618  -1800.751993  -1800.752077            356.60       1     3.15400
    1579   15780     3156.00      -1800.76614973       11.37       11.37           0.014080      0.000077      0.014157  -1800.766150  -1800.751993  -1800.752070            370.78       1     3.15600
    1580   15790     3158.00      -1800.76669781       11.03       11.03           0.014627      0.000078      0.014705  -1800.766698  -1800.751993  -1800.752071            385.19       1     3.15800
